id	form	line	source_line	local_context	output_a	correct_a	error_a	output_b	correct_b	error_b	output_c	correct_c	error_c	output_d	correct_d	error_d	preferred	candidate_x_1	valid_x_1	candidate_x_2	valid_x_2	candidate_x_3	valid_x_3	candidate_y_1	valid_y_1	candidate_y_2	valid_y_2	candidate_y_3	valid_y_3	notes
18	ἡρώων,	4	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν	ψυχὰς Ἄϊδι προΐαψεν ἡρώων, αὐτοὺς δὲ ἑλώρια	of-heroes	unscored	unscored		unscored	unscored		unscored	unscored	of heroes	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
19	αὐτοὺς	4	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν	Ἄϊδι προΐαψεν ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε		unscored	unscored		unscored	unscored	them	unscored	unscored	their-bodies	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
20	δὲ	4	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν	προΐαψεν ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν		unscored	unscored	but	unscored	unscored	and	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
21	ἑλώρια	4	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν οἰωνοῖσί	prey	unscored	unscored	as-prey	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
22	τεῦχε	4	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν	αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν οἰωνοῖσί τε	he-made	unscored	unscored		unscored	unscored		unscored	unscored	he made	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
23	κύνεσσιν	4	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν	δὲ ἑλώρια τεῦχε κύνεσσιν οἰωνοῖσί τε πᾶσι,		unscored	unscored		unscored	unscored	for dogs	unscored	unscored	to-dogs	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
24	οἰωνοῖσί	5	οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,	ἑλώρια τεῦχε κύνεσσιν οἰωνοῖσί τε πᾶσι, Διὸς		unscored	unscored	for birds	unscored	unscored	to-birds	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
25	τε	5	οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,	τεῦχε κύνεσσιν οἰωνοῖσί τε πᾶσι, Διὸς δʼ	and	unscored	unscored	and	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
26	πᾶσι,	5	οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,	κύνεσσιν οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο	all	unscored	unscored		unscored	unscored		unscored	unscored	all	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
27	Διὸς	5	οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,	οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,		unscored	unscored		unscored	unscored	of Zeus	unscored	unscored	Zeus's	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
28	δʼ	5	οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,	τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή, ἐξ		unscored	unscored	and	unscored	unscored	and	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
29	ἐτελείετο	5	οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,	πᾶσι, Διὸς δʼ ἐτελείετο βουλή, ἐξ οὗ	was being accomplished	unscored	unscored	was-being-fulfilled	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
30	βουλή,	5	οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,	Διὸς δʼ ἐτελείετο βουλή, ἐξ οὗ δὴ	will	unscored	unscored		unscored	unscored		unscored	unscored	will	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
31	ἐξ	6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	δʼ ἐτελείετο βουλή, ἐξ οὗ δὴ τὰ		unscored	unscored		unscored	unscored	from	unscored	unscored	from	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
32	οὗ	6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	ἐτελείετο βουλή, ἐξ οὗ δὴ τὰ πρῶτα		unscored	unscored	which	unscored	unscored	when	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
33	δὴ	6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	βουλή, ἐξ οὗ δὴ τὰ πρῶτα διαστήτην	indeed	unscored	unscored	then	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
34	τὰ	6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	the	unscored	unscored		unscored	unscored		unscored	unscored	the	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
35	πρῶτα	6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε Ἀτρεΐδης		unscored	unscored		unscored	unscored	first	unscored	unscored	first	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
36	διαστήτην	6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	δὴ τὰ πρῶτα διαστήτην ἐρίσαντε Ἀτρεΐδης τε		unscored	unscored	they stood apart	unscored	unscored	they-separated	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
37	ἐρίσαντε	6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	τὰ πρῶτα διαστήτην ἐρίσαντε Ἀτρεΐδης τε ἄναξ	having quarreled	unscored	unscored	having-quarreled	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
38	Ἀτρεΐδης	7	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	πρῶτα διαστήτην ἐρίσαντε Ἀτρεΐδης τε ἄναξ ἀνδρῶν	Atreus'-son	unscored	unscored		unscored	unscored		unscored	unscored	son of Atreus	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
39	τε	7	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	διαστήτην ἐρίσαντε Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ		unscored	unscored		unscored	unscored	and	unscored	unscored	and	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
40	ἄναξ	7	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	ἐρίσαντε Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος		unscored	unscored	lord	unscored	unscored	king	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
41	ἀνδρῶν	7	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	of men	unscored	unscored	of-men	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
42	καὶ	7	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς. τίς	and	unscored	unscored		unscored	unscored		unscored	unscored	and	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
43	δῖος	7	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς. τίς τʼ		unscored	unscored		unscored	unscored	brilliant	unscored	unscored	godlike	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
44	Ἀχιλλεύς.	7	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	ἀνδρῶν καὶ δῖος Ἀχιλλεύς. τίς τʼ ἄρ		unscored	unscored	Achilles	unscored	unscored	Achilles	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
45	τίς	8	τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;	καὶ δῖος Ἀχιλλεύς. τίς τʼ ἄρ σφωε	who	unscored	unscored	who	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
46	τʼ	8	τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;	δῖος Ἀχιλλεύς. τίς τʼ ἄρ σφωε θεῶν	and	unscored	unscored		unscored	unscored		unscored	unscored	then	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
47	ἄρ	8	τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;	Ἀχιλλεύς. τίς τʼ ἄρ σφωε θεῶν ἔριδι		unscored	unscored		unscored	unscored	indeed	unscored	unscored	[UNRESOLVED]	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
48	σφωε	8	τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;	τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε		unscored	unscored	them	unscored	unscored	them-two	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
49	θεῶν	8	τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;	τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;	of the gods	unscored	unscored	of-the-gods	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
50	ἔριδι	8	τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;	ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι; Λητοῦς	in-strife	unscored	unscored		unscored	unscored		unscored	unscored	in strife	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
